date,day_index_370,image_idx_0_based,class_id,class_label,raw_all_thetao_available,hres_file_available,predmodel_file_available,hres_file,predmodel_file,input_availability_status,generation_feasibility
2023-12-16,50,49,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-17,51,50,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-18,52,51,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-19,53,52,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-20,54,53,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-21,55,54,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-22,56,55,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-23,57,56,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-24,58,57,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-25,59,58,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2023-12-26,60,59,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-01-17,82,81,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-01-18,83,82,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-07,103,102,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-08,104,103,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-09,105,104,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-12,108,107,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-13,109,108,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-14,110,109,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-15,111,110,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-16,112,111,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-17,113,112,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-18,114,113,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-19,115,114,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-20,116,115,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-21,117,116,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-02-22,118,117,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-04-13,169,168,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-04-14,170,169,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-04-21,177,176,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-04-22,178,177,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-08,194,193,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-09,195,194,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-10,196,195,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-11,197,196,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-12,198,197,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-13,199,198,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-14,200,199,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-21,207,206,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-22,208,207,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-25,211,210,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-05-26,212,211,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-01,218,217,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-02,219,218,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-12,229,228,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-13,230,229,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-14,231,230,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-15,232,231,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-16,233,232,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-17,234,233,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-18,235,234,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-19,236,235,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-20,237,236,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-21,238,237,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-22,239,238,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-23,240,239,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-24,241,240,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-25,242,241,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-26,243,242,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-27,244,243,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-06-29,246,245,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-03,250,249,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-04,251,250,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-05,252,251,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-06,253,252,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-07,254,253,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-08,255,254,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-09,256,255,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-13,260,259,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-22,269,268,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-26,273,272,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-07-27,274,273,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-03,281,280,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-04,282,281,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-05,283,282,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-06,284,283,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-07,285,284,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-08,286,285,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-09,287,286,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-16,294,293,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-17,295,294,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-18,296,295,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-19,297,296,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-20,298,297,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-21,299,298,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-22,300,299,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-23,301,300,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-24,302,301,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-25,303,302,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-26,304,303,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-27,305,304,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-28,306,305,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-08-29,307,306,1,C01_frontal,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-09-03,312,311,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-09-09,318,317,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-09-10,319,318,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-09-17,326,325,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
2024-09-18,327,326,6,C06_mixed,True,False,False,,,raw_cmems_available_requires_hres_and_simulation,REQUIRES_WRITE14DAYS_PLUS_MATLAB_DSS_ADAPTATION
