path,language,probable_objective,matched_terms,matched_term_count,generates_temppred,generates_std,limited_to_october,accepts_arbitrary_dates,hardcoded_paths,depends_on_matlab_or_toolboxes,can_run_batch,auto_generation_candidate,risk_or_limitation
data\TEST_D4\HighRes\Daily_dpt_20241029_NewTest_1\Priori_Nazare_30-10-2024_1\input_all\ssdir.par,parameter,Geostatistical simulation/kriging support.,simulations|DSS|kriging|HighRes|HRes|LAT,6,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
data\Test_C4\HighRes\Daily_dpt_20241030_NewTest_1\Nazare_31-10-2024_1\input_all\ssdir.par,parameter,Geostatistical simulation/kriging support.,simulations|DSS|kriging|HighRes|HRes|LAT,6,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
data\Test_C4\HighRes\Daily_dpt_20241030_NewTest_1\Priori_Nazare_31-10-2024_1\input_all\ssdir.par,parameter,Geostatistical simulation/kriging support.,simulations|DSS|kriging|HighRes|HRes|LAT,6,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
data\Test_C4\Nazare_30-10-2024_1\input_all\ssdir.par,parameter,Geostatistical simulation/kriging support.,simulations|DSS|kriging|HighRes|HRes|LAT,6,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
data\Test_C4\Priori_Nazare_30-10-2024_1\input_all\ssdir.par,parameter,Geostatistical simulation/kriging support.,simulations|DSS|kriging|HighRes|HRes|LAT,6,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
scripts\Old_Code\make_regime_maps_20241029.py,Python,Computes STD from simulation realizations.,STD|HRes|BATHY|LAT|LON|NetCDF,6,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\08_build_compact_model.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT|LON|NetCDF,5,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
scripts\13_export_tempibhres_relative_km_display_assumed.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT|LON|NetCDF,5,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\08_select_canonical_dictionary.py,Python,Computes STD from simulation realizations.,STD|HRes|LAT|LON,4,False,False,False,True,False,True,True,False,MATLAB/external executable dependency; may not generate TEMPpred/STD directly
scripts\Old_Code\export_surface_2024_300_images.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT|LON,4,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\io_auv.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT|LON|NetCDF,4,False,False,False,False,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\make_temp_slices_20241029.py,Python,Reads or transforms HRes/CMEMS thetao fields.,HRes|LAT|LON|NetCDF,4,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\Old_Code\physical_coords.py,Python,Reads or transforms HRes/CMEMS thetao fields.,HRes|LAT|LON|NetCDF,4,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\compare_method_temperature_same_mask.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT|LON,4,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\compare_tempres_day_vs_hres_method_crops.py,Python,Computes STD from simulation realizations.,STD|HRes|LAT|LON,4,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
scripts\investigate_candb_day299_alignment.py,Python,Computes STD from simulation realizations.,STD|HRes|LAT|LON,4,False,False,True,False,True,False,True,False,hardcoded paths; appears October-specific; may not generate TEMPpred/STD directly
scripts\prototype_characterization_utils.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT|LON,4,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\02b_patch_size_sensitivity_fossum_faithful_initial.py,Python,Geostatistical simulation/kriging support.,STD|DSS|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\03a_dictionary_size_sensitivity_fossum_faithful_initial.py,Python,Geostatistical simulation/kriging support.,STD|DSS|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\04a_separation_distance_probe_fossum_faithful_initial.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\05b_compare_scaler_vs_no_scaler_full_assignments.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,False,False,True,False,True,False,hardcoded paths; may not generate TEMPpred/STD directly
scripts\06_class02_local_refinement_sd30.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\11_prototype_characterization.py,Python,Reads or transforms HRes/CMEMS thetao fields.,HRes|LAT|LON,3,False,False,False,False,False,False,True,False,may not generate TEMPpred/STD directly
scripts\12_fix_tempibhres_indexed_axes.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\01b_export_normalized_surface_pngs.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT|LON,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\02_patch_size_selection.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\02a_patch_size_sensitivity_fossum.py,Python,Geostatistical simulation/kriging support.,STD|DSS|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\02a_patch_size_sensitivity_fossum_rerun_corrected.py,Python,Geostatistical simulation/kriging support.,STD|DSS|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\03_dictionary_size_sensitivity_fossum.py,Python,Geostatistical simulation/kriging support.,STD|DSS|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\export_2024_images_by_day_and_depth.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\io_netcdf.py,Python,Relevant by keyword match; objective requires manual inspection.,LAT|LON|NetCDF,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\compact_model.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT|LON,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\compare_method_temperature_exact_mask_day299.py,Python,Reads or transforms HRes/CMEMS thetao fields.,HRes|LAT|LON,3,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\cv_seed11_utils.py,Python,Computes STD from simulation realizations.,STD|HRes|LAT,3,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\tempres_valid_day_mapping_audit.py,Python,Reads or transforms HRes/CMEMS thetao fields.,STD|HRes|LAT,3,False,False,True,False,False,False,True,False,appears October-specific; may not generate TEMPpred/STD directly
scripts\05_compare_scaler_vs_no_scaler_by_classcount.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT,2,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\07_run_faithful_pipeline_end_to_end.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT,2,False,False,False,True,False,True,True,False,MATLAB/external executable dependency; may not generate TEMPpred/STD directly
scripts\10_seed11_cv_analysis.py,Python,Computes STD from simulation realizations.,STD|HRes,2,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\01_build_fossum_surface_dataset.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT,2,False,False,False,True,False,False,False,False,may not generate TEMPpred/STD directly
scripts\Old_Code\02a_patch_size_sensitivity_fossum_debugfixed.py,Python,Relevant by keyword match; objective requires manual inspection.,STD|LAT,2,False,False,False,False,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\pil_geo_plot.py,Python,Relevant by keyword match; objective requires manual inspection.,LAT|LON,2,False,False,False,False,False,False,True,False,may not generate TEMPpred/STD directly
scripts\09_export_cv_prototypes.py,Python,Relevant by keyword match; objective requires manual inspection.,LAT,1,False,False,False,True,False,False,True,False,may not generate TEMPpred/STD directly
scripts\Old_Code\diagnose_icv_boxplot_variance.py,Python,Relevant by keyword match; objective requires manual inspection.,LAT,1,False,False,False,False,False,False,True,False,may not generate TEMPpred/STD directly
scripts\fossum_faithful_initial_utils.py,Python,Relevant by keyword match; objective requires manual inspection.,LAT,1,False,False,False,False,False,False,True,False,may not generate TEMPpred/STD directly
C:\Users\E713181\OneDrive - EDP\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel,missing_directory,Requested search root does not exist in this clone.,,0,False,False,False,False,False,False,False,False,Missing directory.
C:\Users\E713181\OneDrive - EDP\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\01.Data,missing_directory,Requested search root does not exist in this clone.,,0,False,False,False,False,False,False,False,False,Missing directory.
C:\Users\E713181\OneDrive - EDP\Documents\Dados\FILIPA_DADOS\data\dadosParaPedro_Fresnel\02.Simulations,missing_directory,Requested search root does not exist in this clone.,,0,False,False,False,False,False,False,False,False,Missing directory.
