evidence_id,path,source_group,evidence_type,fact,confidence,line
TXT0023,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"normalized_tempIBHRes_thesis,FILIPA_DADOS/results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png,lon/lat from HRes bbox linear remap,display_mapping,high,Method in color_scale_norm.json coord_source",medium,3
TXT0024,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"visual_branches_tempIBHRes,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/tempIBHRes2024_1/tempIBHRes2024_1_step013.png,coord_type=latlon with HRes local bbox,display_mapping,high,image_manifest row2",medium,4
TXT0025,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"visual_branches_2024IB,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/2024IB/2024IB_step013.png,coord_type=latlon CMEMS bbox,georef_strong,medium,assumes upstream CMEMS axes preserved",medium,5
TXT0026,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"visual_branches_TestC4_scene_real,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/TestC4_scene_real/TestC4_scene_real_step013.png,coord_type=metric,georef_strong,high,explicit metric axes in image and manifest",medium,6
TXT0027,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"visual_branches_Priori_or_Nazare_Median,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/images/thermal/Priori_Median/Priori_Median_step013.png,coord_type=index,not_georeferenced_index,high,index display only",medium,7
TXT0028,investigation/tempibhres_geoaxes_audit_20260417_171342/OUTPUT_CLASSIFICATION.csv,table_or_index,keyword_snippet,"hres_surface_compare_tempIBHRes,FILIPA_DADOS/results/validation_hres_surface_comparison_20260405_130636/images/tempIBHRes2024_1/tempIBHRes2024_1_z013.png,lat/lon display using HRes bbox references,display_mapping,high,grid_comparison note + plotted axes",medium,8
TXT0029,investigation/tempibhres_geoaxes_audit_20260417_171342/TRACE_EVIDENCE_COORDS.csv,table_or_index,keyword_snippet,"E05,FILIPA_DADOS/scripts/Old_Code/physical_coords.py,35-41,Docstring says use HRes bbox from metadata,External bbox mapping is intentional,high",medium,6
TXT0030,investigation/tempibhres_geoaxes_audit_20260417_171342/TRACE_EVIDENCE_COORDS.csv,table_or_index,keyword_snippet,"E08,FILIPA_DADOS/scripts/Old_Code/physical_coords.py,63,Metadata method is linear_resample_from_hres_bbox,Display mapping is explicit in code,high",medium,9
TXT0031,investigation/tempibhres_geoaxes_audit_20260417_171342/TRACE_EVIDENCE_COORDS.csv,table_or_index,keyword_snippet,"E13,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/tables/image_manifest.csv,row2,row2 marks tempIBHRes coord_type=latlon with HRes bbox,tempIBHRes rendered in mapped lat/lon there,high",medium,14
TXT0032,investigation/tempibhres_geoaxes_audit_20260417_171342/TRACE_EVIDENCE_COORDS.csv,table_or_index,keyword_snippet,"E14,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/tables/image_manifest.csv,row4,row4 marks TestC4_scene_real coord_type=metric,Scene product uses metric coordinates in this package,high",medium,15
TXT0033,investigation/tempibhres_geoaxes_audit_20260417_171342/TRACE_EVIDENCE_COORDS.csv,table_or_index,keyword_snippet,"E15,FILIPA_DADOS/results/validation_visual_data_branches_20260405_193102/tables/image_manifest.csv,row6,row6 marks Priori_Median coord_type=index,Some compared products are index-only,high",medium,16
TXT0034,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"1,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z001.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,2
TXT0035,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"2,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z002.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,3
TXT0036,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"3,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z003.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,4
TXT0037,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"4,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z004.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,5
TXT0038,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"5,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z005.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,6
TXT0039,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"6,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z006.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,7
TXT0040,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"7,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z007.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,8
TXT0041,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"8,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z008.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,9
TXT0042,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"9,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z009.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchore...",medium,10
TXT0043,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"10,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z010.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,11
TXT0044,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"11,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z011.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,12
TXT0045,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"12,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z012.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,13
TXT0046,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"13,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z013.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,14
TXT0047,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"14,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z014.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,15
TXT0048,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"15,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z015.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,16
TXT0049,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"16,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z016.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,17
TXT0050,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"17,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z017.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,18
TXT0051,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"18,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z018.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,19
TXT0052,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"19,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z019.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,20
TXT0053,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/index.csv,table_or_index,keyword_snippet,"20,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/deterministic_tempibhres/TEMP_surface_2024_z020.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchor...",medium,21
TXT0054,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"1,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z001.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,2
TXT0055,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"2,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z002.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,3
TXT0056,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"3,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z003.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,4
TXT0057,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"4,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z004.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,5
TXT0058,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"5,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z005.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,6
TXT0059,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"6,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z006.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,7
TXT0060,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"7,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z007.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,8
TXT0061,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"8,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z008.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,9
TXT0062,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"9,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z009.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRes...",medium,10
TXT0063,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"10,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z010.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,11
TXT0064,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"11,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z011.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,12
TXT0065,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"12,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z012.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,13
TXT0066,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"13,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z013.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,14
TXT0067,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"14,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z014.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,15
TXT0068,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"15,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z015.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,16
TXT0069,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"16,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z016.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,17
TXT0070,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"17,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z017.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,18
TXT0071,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"18,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z018.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,19
TXT0072,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"19,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z019.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,20
TXT0073,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/index.csv,table_or_index,keyword_snippet,"20,investigation/tempibhres_hres_registration_controlled_v4/figures_inferred_axes_km/normalized_tempibhres/X_surface_norm_z020.png,458.70812265264726,487.870002888995,4369.93390206069,4389.257784651033,x,y,inferred by registration to physically anchored HRe...",medium,21
TXT0074,investigation/tempibhres_hres_registration_controlled_v4/manifest.json,manifest_or_json,keyword_snippet,"""hres_bbox_reference"": {",high,12
TXT0075,investigation/tempibhres_hres_registration_controlled_v4/manifest.json,manifest_or_json,keyword_snippet,"""search_family"": ""axis_aligned_crop_plus_linear_resample"",",high,21
TXT0076,investigation/tempibhres_hres_registration_controlled_v4/manifest.json,manifest_or_json,keyword_snippet,"""inferred_axis_mode_requested"": ""utm_abs_km""",high,27
TXT0077,investigation/tempibhres_hres_registration_controlled_v4/manifest.json,manifest_or_json,keyword_snippet,"""axis_mode_used"": ""utm_abs_km"",",high,68
TXT0078,investigation/tempibhres_hres_registration_controlled_v4/manifest.json,manifest_or_json,keyword_snippet,"""axis_mode_used"": ""utm_abs_km""",high,101
TXT0079,investigation/tempibhres_hres_registration_controlled_v4/manifest.json,manifest_or_json,keyword_snippet,"""native_tempibhres_georef_claim"": ""not asserted"",",high,105
TXT0080,investigation/tempibhres_hres_registration_controlled_v4/TEMPIBHRES_HRES_REGISTRATION_REPORT.md,report_or_doc,keyword_snippet,"- Stage 1: deterministic coarse search over axis-aligned crop+resample transforms, scored by mask overlap.",medium,18
TXT0081,investigation/tempibhres_hres_registration_controlled_v4/TEMPIBHRES_HRES_REGISTRATION_REPORT.md,report_or_doc,keyword_snippet,- Axis mode used: `utm_abs_km`,medium,37
TXT0082,investigation/tempibhres_hres_registration_controlled_v4/TEMPIBHRES_HRES_REGISTRATION_REPORT.md,report_or_doc,keyword_snippet,- Transformation family is restricted to axis-aligned crop + linear resampling (no rotation/shear/nonlinear warp).,medium,50
