z,filepath,x_km_min,x_km_max,y_km_min,y_km_max,mean_norm,std_norm,min_norm,max_norm,x_axis_label,y_axis_label,unit_tag,figure_tag,georef_note
38,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z038.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.37054571509361267,0.027698161080479622,-0.43523189425468445,-0.28615906834602356,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
39,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z039.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.301346093416214,0.07313878834247589,-0.3991263210773468,-0.1280640959739685,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
40,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z040.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3026808202266693,0.08638770133256912,-0.45422184467315674,-0.15849560499191284,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
41,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z041.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3735334277153015,0.06583172082901001,-0.5569374561309814,-0.23321251571178436,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
42,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z042.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3101174235343933,0.056635189801454544,-0.45341917872428894,-0.192637637257576,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
43,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z043.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3191961646080017,0.07772020995616913,-0.49418941140174866,-0.11214756965637207,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
44,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z044.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.38164156675338745,0.06295409053564072,-0.49099987745285034,-0.1605568379163742,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
45,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z045.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3920837640762329,0.04620647802948952,-0.4668596684932709,-0.22100791335105896,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
46,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z046.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.39294299483299255,0.0359378419816494,-0.4507109522819519,-0.25470682978630066,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
47,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z047.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3787563741207123,0.04243829473853111,-0.4430818557739258,-0.2581455409526825,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
48,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z048.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.34677648544311523,0.03702979534864426,-0.44855204224586487,-0.2458418309688568,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
49,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z049.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3020937740802765,0.06165686622262001,-0.4079842269420624,-0.1771005094051361,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
50,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z050.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.22357331216335297,0.05287238210439682,-0.31705066561698914,-0.12268732488155365,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
51,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z051.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.22359248995780945,0.032053858041763306,-0.3547573983669281,-0.16977576911449432,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
52,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z052.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3239927589893341,0.03262479975819588,-0.4045908451080322,-0.27580758929252625,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
53,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z053.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.4478053152561188,0.0548274852335453,-0.5350891947746277,-0.31510552763938904,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
54,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z054.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.5750114321708679,0.04736747965216637,-0.6724040508270264,-0.44573765993118286,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
55,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z055.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.6801055669784546,0.04867139831185341,-0.7933685183525085,-0.5778534412384033,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
56,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z056.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.8053130507469177,0.03100440464913845,-0.876873254776001,-0.7322357892990112,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
57,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z057.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.010872483253479,0.028487859293818474,-1.1081562042236328,-0.9459968209266663,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
58,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z058.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.1240935325622559,0.034840259701013565,-1.2330513000488281,-0.9911903738975525,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
59,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z059.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.1576594114303589,0.06939366459846497,-1.2665116786956787,-1.019477128982544,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
60,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z060.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.1933246850967407,0.073215551674366,-1.3035962581634521,-1.0602997541427612,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
61,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z061.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.252719521522522,0.0860716849565506,-1.4016634225845337,-1.1301156282424927,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
62,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z062.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.3508961200714111,0.08458761125802994,-1.4893274307250977,-1.2250739336013794,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
63,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z063.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.3671962022781372,0.09762664139270782,-1.5443309545516968,-1.2345463037490845,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
64,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z064.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.3284940719604492,0.11902717500925064,-1.4631280899047852,-1.1279425621032715,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
65,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z065.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.4473152160644531,0.07345233112573624,-1.527419924736023,-1.2332382202148438,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
66,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z066.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.4266138076782227,0.08797793090343475,-1.5587135553359985,-1.260701060295105,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
67,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z067.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.4153598546981812,0.05450265109539032,-1.5556578636169434,-1.340118646621704,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
68,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z068.png,462.0,492.6393868948385,4376.0,4396.805363199146,-1.4319968223571777,0.02243976853787899,-1.5551835298538208,-1.4017037153244019,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
