step,case_id,run_name,descriptor,alpha,planner_information_map_source,figure_background_source,map_used_equals_background,conclusion
Step11B,C01_representative,C01_representative__boundary_alpha050,boundary,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__gradient_alpha025,gradient,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__gradient_alpha050,gradient,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__heterogeneity_alpha025,heterogeneity,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__heterogeneity_alpha050,heterogeneity,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__representative_zone_alpha025,representative_zone,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__representative_zone_alpha050,representative_zone,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__interest_alpha025,interest,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C01_representative,C01_representative__interest_alpha050,interest,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,partial,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__boundary_alpha025,boundary,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__boundary_alpha050,boundary,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__gradient_alpha025,gradient,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__gradient_alpha050,gradient,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__heterogeneity_alpha025,heterogeneity,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__heterogeneity_alpha050,heterogeneity,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__representative_zone_alpha025,representative_zone,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__representative_zone_alpha050,representative_zone,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__interest_alpha025,interest,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,C06_representative,C06_representative__interest_alpha050,interest,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,partial,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__boundary_alpha025,boundary,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__boundary_alpha050,boundary,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__gradient_alpha025,gradient,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__gradient_alpha050,gradient,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__heterogeneity_alpha025,heterogeneity,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__heterogeneity_alpha050,heterogeneity,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__representative_zone_alpha025,representative_zone,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__representative_zone_alpha050,representative_zone,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__interest_alpha025,interest,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11B,October_control,October_control__interest_alpha050,interest,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733\step11b_information_maps_by_descriptor.npz,descriptor_trajectories_panel uses STD/descriptor backgrounds; barplots use metrics,no,Descriptors were used in objective for non-baseline runs; existing figure backgrounds are diagnostic and should be captioned or regenerated over actual information_map.
Step11C,C01_representative,baseline_STD,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__baseline_STD_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11C,C01_representative,boundary_alpha050,boundary/crossing_proxy,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__boundary_alpha050_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11C,C01_representative,crossing_gamma025,boundary/crossing_proxy,0.25,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__crossing_gamma025_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11C,C01_representative,crossing_gamma050,boundary/crossing_proxy,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_12h__crossing_gamma050_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11C,C01_representative,baseline_STD_6h,none,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_6h__baseline_STD_6h_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11C,C01_representative,boundary_alpha050_6h,boundary/crossing_proxy,0.0,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_6h__boundary_alpha050_6h_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11C,C01_representative,crossing_gamma050_6h,boundary/crossing_proxy,0.5,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11c_single_auv_boundary_crossing_reward_20260523_200322\planner_inputs\C01_representative__1auv_6h__crossing_gamma050_6h_planner_interface.nc,"TEMPpred/STD/boundary/region masks in figures, not always exact crossing information_map",partial,Crossing proxy is stored in planner NetCDFs; visual interpretation needs region-colored diagnostics.
Step11D,C01_representative,multi_baseline_STD,none,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__2auv_12h__multi_baseline_STD_planner_interface.nc,strategy overlays use region mask RGB background; exact objective map may differ by vehicle/proxy,partial,Use fleet metrics and regenerated information-map panels to explain objective; existing overlays explain regime separation.
Step11D,C01_representative,multi_boundary_alpha050,region_A/region_B/boundary proxy,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__2auv_12h__multi_boundary_alpha050_planner_interface.nc,strategy overlays use region mask RGB background; exact objective map may differ by vehicle/proxy,no,Use fleet metrics and regenerated information-map panels to explain objective; existing overlays explain regime separation.
Step11D,C01_representative,vehicle_specific_regime_maps,region_A/region_B/boundary proxy,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__2auv_12h__vehicle_specific_regime_maps_planner_interface.nc,strategy overlays use region mask RGB background; exact objective map may differ by vehicle/proxy,no,Use fleet metrics and regenerated information-map panels to explain objective; existing overlays explain regime separation.
Step11D,C01_representative,vehicle_specific_with_crossing_proxy,region_A/region_B/boundary proxy,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__2auv_12h__vehicle_specific_with_crossing_proxy_planner_interface.nc,strategy overlays use region mask RGB background; exact objective map may differ by vehicle/proxy,no,Use fleet metrics and regenerated information-map panels to explain objective; existing overlays explain regime separation.
Step11D,C01_representative,sequential_overlap_reduction,none,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__2auv_12h__sequential_overlap_reduction_planner_interface.nc,strategy overlays use region mask RGB background; exact objective map may differ by vehicle/proxy,partial,Use fleet metrics and regenerated information-map panels to explain objective; existing overlays explain regime separation.
Step11D,C01_representative,post_solver_selected_pair,none,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_114809\planner_inputs\C01_representative__2auv_12h__post_solver_selected_pair_planner_interface.nc,strategy overlays use region mask RGB background; exact objective map may differ by vehicle/proxy,partial,Use fleet metrics and regenerated information-map panels to explain objective; existing overlays explain regime separation.
