step,output_path,figure_name,script_source,plotting_function,background_map_name,background_map_source_file,background_map_shape,trajectory_source_file,trajectory_run_names,coordinate_system_detected,extent_used,origin_used,likely_issue,interpretation
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/C06_representative__baseline_STD/plots/20260520T092555Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/C06_representative__enriched_boundary_alpha025/plots/20260520T093025Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/C06_representative__enriched_boundary_alpha050/plots/20260520T093421Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/October_control__baseline_STD/plots/20260520T095214Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/October_control__enriched_boundary_alpha025/plots/20260520T095706Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,planner_runs/October_control__enriched_boundary_alpha050/plots/20260520T100222Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_all_cases_summary_panel.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_C01_representative_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_C06_representative_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_collected_scores_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_metric_panels / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary figure.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_October_control_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_October_reference_baseline_vs_enriched_overlay.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_overlay / plot_metric_panels,"TEMPpred, STD_norm, boundary_score_norm multi-panel",Step10F planner_minimal_boundary_input_maps.npz and planner_input NetCDFs,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + enriched_boundary_alpha025/alpha050,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Shows baseline and boundary-enriched paths over diagnostic maps; not every panel is the exact planner objective.
Step11A,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260520_102117,step11a_solver_runtime_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11a_run_minimal_boundary_planner_comparison.py,plot_metric_panels / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary figure.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,figures/step11b_C01_representative_descriptor_trajectories_panel.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,"descriptor panel backgrounds: STD_norm, boundary, gradient, heterogeneity, representative_zone, interest",Step09/Step10F descriptors loaded by script; information maps also saved in step11b_information_maps_by_descriptor.npz,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + descriptor alpha025/alpha050 runs,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,Can be misleading if read as exact objective map; descriptors were used in information_map but panel backgrounds are diagnostic.,Use regenerated information_map figures when explaining objective; existing panel is useful for path sensitivity against each descriptor background.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,figures/step11b_collected_scores_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary; no background map.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,figures/step11b_distance_from_baseline_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary; no background map.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__baseline_STD/plots/20260520T151039Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__boundary_alpha025/plots/20260520T151441Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__boundary_alpha050/plots/20260520T151743Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__gradient_alpha025/plots/20260520T152142Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__gradient_alpha050/plots/20260520T152534Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__heterogeneity_alpha025/plots/20260520T153011Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__heterogeneity_alpha050/plots/20260520T153457Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__interest_alpha025/plots/20260520T154751Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__interest_alpha050/plots/20260520T155216Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__representative_zone_alpha025/plots/20260520T153928Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,planner_runs/C01_representative__representative_zone_alpha050/plots/20260520T154315Z_wt.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,step11b_C01_representative_descriptor_trajectories_panel.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,"descriptor panel backgrounds: STD_norm, boundary, gradient, heterogeneity, representative_zone, interest",Step09/Step10F descriptors loaded by script; information maps also saved in step11b_information_maps_by_descriptor.npz,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + descriptor alpha025/alpha050 runs,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,Can be misleading if read as exact objective map; descriptors were used in information_map but panel backgrounds are diagnostic.,Use regenerated information_map figures when explaining objective; existing panel is useful for path sensitivity against each descriptor background.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,step11b_collected_scores_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary; no background map.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_160652,step11b_distance_from_baseline_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary; no background map.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,figures/step11b_C06_representative_descriptor_trajectories_panel.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,save_descriptor_panel / plot_bar,"descriptor panel backgrounds: STD_norm, boundary, gradient, heterogeneity, representative_zone, interest",Step09/Step10F descriptors loaded by script; information maps also saved in step11b_information_maps_by_descriptor.npz,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,planner_runs/*/trajectory_routes.json,baseline_STD + descriptor alpha025/alpha050 runs,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,Can be misleading if read as exact objective map; descriptors were used in information_map but panel backgrounds are diagnostic.,Use regenerated information_map figures when explaining objective; existing panel is useful for path sensitivity against each descriptor background.
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_165239,figures/step11b_collected_scores_barplot.png,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\scripts\11b_descriptor_ablation_planner_tests.py,plot_bar,none,,72x117 ROI for audit backgrounds; planner NetCDFs are 180x240 HRes,,,"ROI row/col indices: x=col-ROI_COL_MIN, y=row-ROI_ROW_MIN",none detected in Step11A-D scripts,origin='lower' in audited Step11 scripts,,Metric summary; no background map.
